country,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,corruption_perceptions,avg_happiness_score,annual_average,avg_annual_region,avg_annual,happiness_category
Italy,6.206044486111111,1.4282836325555555,1.2641843646666666,0.869347697111111,0.30770958733333337,0.14979176211111112,0.038860409888888885,6.206044486111112,5.444338486093167,6.811899206957673,5.444338486093167,Happy
Ivory Coast,4.688144448555556,0.6808392594444445,0.6851574767777777,0.13402163144444446,0.4327909694444445,0.1711314507777778,0.12200861877777777,4.688144448555556,5.444338486093167,4.298487007476782,5.444338486093167,Not happy
Jamaica,5.784644437999999,0.950038634,1.240916362,0.6546173857777777,0.5338690939999999,0.13842631444444445,0.03748284066666666,5.784644438,5.444338486093167,5.9905635228708,5.444338486093167,Moderately happy
Japan,5.956422232666666,1.4449388097777778,1.266815168888889,0.9215974680000001,0.5066501578888888,0.061063838666666675,0.18029448611111112,5.956422232666667,5.444338486093167,5.732149987592592,5.444338486093167,Moderately happy
Jordan,4.799822214333333,0.982211288,1.0193652768888888,0.6490805315555556,0.434346248,0.10553502544444443,0.14828687744444446,4.799822214333333,5.444338486093167,5.268499088774629,5.444338486093167,Not happy
Kazakhstan,5.975544413222223,1.2930133896666667,1.3059429677777779,0.6010411657777779,0.5006196027777778,0.14789535733333337,0.12006739688888889,5.975544413222223,5.444338486093167,5.643245552422223,5.444338486093167,Moderately happy
Kenya,4.496333350666667,0.6239192067777778,0.8621320534444443,0.3970134565555555,0.4528727002222222,0.371051378,0.06389915522222223,4.496333350666667,5.444338486093167,4.298487007476782,5.444338486093167,Not happy
Kosovo,5.950133320666667,0.9894328581111113,1.0312684805555556,0.5717201352222222,0.4418909291111111,0.2982487014444445,0.03354562688888889,5.950133320666666,5.444338486093167,5.589284174912879,5.444338486093167,Moderately happy
Kuwait,6.13213748925,1.571018263375,1.12599982175,0.697398080125,0.5385311265,0.14987136124999997,0.16259431037499997,6.13213748925,5.4318256497959885,5.287426859486842,5.4318256497959885,Happy
Kyrgyzstan,5.422833364333333,0.6689023385555556,1.2459739186666665,0.5902748533333333,0.5617167948888889,0.30039679044444445,0.031205096666666668,5.42283336433333,5.444338486093167,5.643245552422223,5.444338486093167,Moderately happy
Laos,4.917574984125,0.8435967305000001,0.805515236125,0.43454728525,0.6174521608750001,0.28392213875,0.19049924549999997,4.917574984125,5.455628377383039,5.362156947458335,5.455628377383039,Not happy
Latvia,5.861777746,1.3135715638888887,1.2841093034444444,0.6547065994444445,0.3717307465555556,0.11291030344444443,0.07738380566666665,5.8617777460000005,5.444338486093167,5.589284174912879,5.444338486093167,Moderately happy
Lebanon,4.494500001777777,1.102060005222222,0.8898852853333334,0.7054369125555555,0.24394140611111112,0.17127165555555554,0.042829108555555565,4.494500001777777,5.444338486093167,5.268499088774629,5.444338486093167,Not happy
Lesotho,3.856114310142857,0.5146299981428571,1.0404378871428572,0.06157925871428572,0.389099833,0.11800070199999999,0.07608835185714287,3.856114310142857,5.438917212141732,4.309639595167801,5.438917212141731,Not happy
Liberia,4.171433327111112,0.23471164444444448,0.7511179851111112,0.28987360788888894,0.3751793642222223,0.22608530622222223,0.05243645833333334,4.171433327111111,5.444338486093167,4.298487007476782,5.444338486093167,Not happy
Libya,5.526725017999999,1.1088808538750001,1.1300285035000002,0.5787044566249999,0.45043591087499996,0.141831420625,0.141436036125,5.526725018,5.4318256497959885,5.287426859486842,5.4318256497959885,Moderately happy
Lithuania,6.147611092,1.369063555,1.3388824273333333,0.6710434581111112,0.35082250833333334,0.038612855333333335,0.04541399077777778,6.147611092,5.444338486093167,5.589284174912879,5.444338486093167,Happy
Luxembourg,7.097055567444445,1.7650055163333331,1.2909702316666665,0.8447657977777777,0.6198105484444445,0.20668721133333331,0.35701621033333336,7.097055567444444,5.444338486093167,6.811899206957673,5.444338486093167,Happy
Macedonia,5.163977804888889,1.1056399924444444,1.0571940612222221,0.6599747017777777,0.39326450733333335,0.21003161155555555,0.04084587255555556,5.163977804888888,5.444338486093167,5.589284174912879,5.444338486093167,Moderately happy
Madagascar,3.9398444306666667,0.3491268778888889,0.7352083022222222,0.3964600373333334,0.18620492377777778,0.18473917711111112,0.08497562366666667,3.9398444306666667,5.444338486093167,4.298487007476782,5.444338486093167,Not happy
Malawi,3.755333348444444,0.254234085,0.40314188011111113,0.32850143111111113,0.4693493874444445,0.2290350585555555,0.10430617844444445,3.755333348444444,5.444338486093167,4.298487007476782,5.444338486093167,Not happy
Malaysia,5.779033371444444,1.3145463384444445,1.080903147111111,0.6493218111111111,0.5245285014444445,0.3014427878888889,0.07984264899999999,5.779033371444447,5.444338486093167,5.37134784239352,5.444338486093167,Moderately happy
Maldives,5.197799944,1.026432152,1.208643801,0.8057197795000001,0.5616018235,0.21409912599999997,0.072453246,5.197799944,5.503039394512082,4.4586499635,5.503039394512082,Moderately happy
Mali,4.358255564333334,0.455478127,0.911245014222222,0.19562746622222224,0.3574620213333333,0.16184902766666667,0.07867850255555556,4.358255564333334,5.444338486093167,4.298487007476782,5.444338486093167,Not happy
Malta,6.5324222132222225,1.4190014586666664,1.3410209543333336,0.8278162512222222,0.6220662314444445,0.3773112673333333,0.15870334955555554,6.532422213222224,5.444338486093167,6.811899206957673,5.444338486093167,Happy
Mauritania,4.361511083444444,0.6942357978888888,0.9873171554444444,0.34485156622222224,0.18754805844444447,0.15040329866666666,0.14004162666666667,4.361511083444444,5.444338486093167,4.298487007476782,5.444338486093167,Not happy
Mauritius,5.850699994444445,1.2202654996666666,1.181154203111111,0.636976319,0.5487994955555556,0.23997536688888893,0.07516775377777778,5.850699994444446,5.444338486093167,4.298487007476782,5.444338486093167,Moderately happy
Mexico,6.540666691333333,1.1832434774444445,1.0584784065555555,0.7039388913333334,0.5083913956666666,0.09724165755555553,0.12217530922222222,6.54066669133333,5.444338486093167,5.9905635228708,5.444338486093167,Happy
Moldova,5.760277766333333,0.8768930473333333,1.1291930854444443,0.5907905171111112,0.3771667263333333,0.16403425666666668,0.01340555888888889,5.760277766333332,5.444338486093167,5.589284174912879,5.444338486093167,Moderately happy
Mongolia,5.320022227444444,1.038758737888889,1.3495968719999998,0.5251046273333333,0.3864252315555555,0.2796711073333333,0.042105046111111114,5.3200222274444435,5.444338486093167,5.732149987592592,5.444338486093167,Moderately happy
